"","date","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","2017-02-22",44,0,0,0,0,3,0,0,4,3,3
"2","2017-02-18",12,0,1,0,0,0,0,0,0,1,0
"3","2017-02-16",21,2,2,0,0,2,2,0,4,2,4
"4","2017-02-15",10,0,0,0,0,2,0,0,2,0,2
"5","2017-02-14",74,3,2,0,1,5,0,0,5,1,8
"6","2017-02-13",181,2,3,2,2,16,2,1,19,9,23
"7","2017-02-12",18,0,1,0,0,3,0,0,3,0,3
"8","2017-02-11",8,0,0,0,0,1,0,0,1,0,1
"9","2017-02-10",434,3,13,1,3,41,3,2,53,6,56
"10","2017-02-09",645,2,14,4,6,52,4,6,63,15,71
"11","2017-02-08",42,0,0,1,1,3,0,0,5,1,7
"12","2017-02-07",63,0,0,0,0,5,0,0,5,0,7
"13","2017-02-06",51,2,1,0,2,2,1,1,4,2,7
"14","2017-02-03",48,0,0,0,1,2,1,0,2,1,4
"15","2017-02-02",16,0,0,1,1,0,1,0,1,1,0
"16","2017-02-01",21,0,0,0,0,2,0,0,2,0,2
